ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
29722;POINT (21.2771741 48.7227737);21.2771741;48.7227737;Nevädzová;9;Nevädzová 9;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29723;POINT (21.27675185 48.72270543);21.27675185;48.72270543;Nevädzová;7;Nevädzová 7;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24105;POINT (21.2592079 48.7551004);21.2592079;48.7551004;Želiarska;14;Želiarska 14;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24068;POINT (21.2543329 48.756759);21.2543329;48.756759;Ťahanovská;10C;Ťahanovská 10C;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29733;POINT (21.2768244 48.7234411);21.2768244;48.7234411;Šarišská;9;Šarišská 9;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29731;POINT (21.276777 48.7237017);21.276777;48.7237017;Šarišská;5;Šarišská 5;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
24062;POINT (21.253564 48.7567856);21.253564;48.7567856;Ťahanovská;4A;Ťahanovská 4A;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24063;POINT (21.2533046 48.7563121);21.2533046;48.7563121;Na Sihoti;13;Na Sihoti 13;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24066;POINT (21.2541055673711 48.756829055656);21.2541055673711;48.756829055656;Ťahanovská;8;Ťahanovská 8;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
29730;POINT (21.2766419 48.7233167);21.2766419;48.7233167;Šarišská;4;Šarišská 4;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29729;POINT (21.2766419 48.7233167);21.2766419;48.7233167;Šarišská;6;Šarišská 6;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
